"cluster","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"6","Grk3",5.93108833894409e-39,0.795015196429078,0.903,0.523,1.91502980287827e-34
"6","Kcnn3",7.4526504670086e-39,0.81184548919413,0.968,0.584,2.40631178278774e-34
"6","Tmem108",7.81079141074392e-39,0.849720606755048,0.974,0.724,2.521948330701e-34
"6","Hrh3",9.2278048696254e-39,0.602394493474312,0.69,0.24,2.97947363630465e-34
"6","Meg3",1.05400364676882e-38,0.47077578680604,1,0.996,3.40316697468715e-34
"6","Sla",1.28244564241905e-38,0.408762113942907,0.439,0.098,4.14076049024262e-34
"6","Mgll",1.71582398200462e-38,0.771282661427549,0.877,0.433,5.54005247309653e-34
"6","Kcnmb4",1.82030755825902e-38,0.719840089841922,0.826,0.382,5.87740904410673e-34
"6","Peg3",2.21486614420621e-38,0.780183609243433,0.955,0.676,7.15135980641302e-34
"6","Foxp2",2.91426621444595e-38,0.500281699756383,0.568,0.156,9.40958275320309e-34
"6","Gse1",5.06407629866219e-38,0.798693707057397,0.897,0.478,1.63508895531205e-33
"6","Antxr1",8.51326514381798e-38,0.777168640052024,0.716,0.275,2.74876304963595e-33
"6","Chga",9.64002790325497e-38,0.79451697650461,0.8,0.356,3.11257220940296e-33
"6","Rasgef1b",1.00453388251951e-37,1.1040519057867,0.935,0.756,3.243438999879e-33
"6","Kcnab1",1.36668156243605e-37,1.17879641934073,0.923,0.743,4.41274142879351e-33
"6","Gabra5",2.80409663592643e-37,0.825027672218738,0.865,0.454,9.05386721807925e-33
"6","Grb14",3.24207705907974e-37,0.728522314713475,0.858,0.409,1.04680184083567e-32
"6","Rph3a",3.25606493704375e-37,0.858419261333243,0.839,0.41,1.05131824687269e-32
"6","Nhsl2",4.40167569863334e-36,0.816746696458774,0.91,0.61,1.42121304957473e-31
"6","Kcnj2",1.79335976024217e-35,0.258633918680953,0.342,0.067,5.79039999386993e-31
"6","Zfp462",2.45196562379149e-35,0.848664193563942,0.916,0.509,7.91690660609796e-31
"6","Col6a1",2.73603417499516e-35,0.560535577470227,0.529,0.149,8.83410714422438e-31
"6","Tshz3",1.60031106918493e-34,0.77056966560478,0.916,0.562,5.1670843801843e-30
"6","Homer2",1.99984888878896e-34,0.562255641488683,0.677,0.256,6.45711209212179e-30
"6","Stk10",2.26796945690213e-34,0.378332980727154,0.471,0.124,7.32281978244561e-30
"6","D630023F18Rik",4.64369961298257e-34,0.369355196077008,0.413,0.099,1.49935773103981e-29
"6","Mctp1",5.73881389652427e-34,0.678235900643096,1,0.974,1.85294823090976e-29
"6","Rcan2",6.46082221977424e-34,0.71986963336238,0.768,0.326,2.08607027832071e-29
"6","Pitpnc1",6.78160507970881e-34,0.730404903950553,0.858,0.462,2.18964464813638e-29
"6","Epb41l1",6.7822642144311e-34,0.711675928342908,0.994,0.886,2.18985746955551e-29
"6","Mecr",1.17206660303705e-33,0.740982442805826,0.884,0.515,3.78436864788604e-29
"6","Fbxo21",1.50499697470304e-33,0.648434122804534,0.716,0.309,4.85933423192118e-29
